,USstate,year,month,nTweets_x,nTweets_y,misogyny_proportion
946,de,2020,11,19553.666666666668,1.0,0.00011189721876029939
947,de,2020,12,20408.0,1.0,0.00010678486944869029
948,de,2021,1,21262.333333333336,1.0,0.00010167252013708119
949,de,2021,2,22116.666666666668,1.0,9.656017082547209e-05
950,de,2021,3,22971.0,1.0,9.144782151386299e-05
951,de,2021,4,23825.333333333336,1.0,8.63354722022539e-05
952,de,2021,5,24679.666666666668,1.0,8.12231228906448e-05
953,de,2021,6,25534.0,1.0,7.611077357903568e-05
954,de,2021,7,26388.333333333336,1.0,7.09984242674266e-05
955,de,2021,8,27242.666666666668,1.0,6.588607495581749e-05
956,de,2021,9,28097.0,1.0,6.07737256442084e-05
957,de,2021,10,28951.333333333336,1.0,5.566137633259929e-05
958,de,2021,11,29805.666666666668,1.0,5.05490270209902e-05
959,de,2021,12,30660.0,1.0,4.543667770938109e-05
960,dc,2012,1,31514.333333333336,1.0,4.0324328397772004e-05
961,dc,2012,2,32368.666666666668,1.0,3.521197908616289e-05
962,dc,2012,3,33223.0,1.0,3.0099629774553773e-05
963,dc,2012,4,21940.0,1.0,4.5578851412944395e-05
964,dc,2012,5,27767.5,1.0,4.091123421570455e-05
965,dc,2012,6,33595.0,1.0,3.62436170184647e-05
966,dc,2012,7,39422.5,1.0,3.157599982122486e-05
967,dc,2012,8,45250.0,1.0,2.690838262398501e-05
968,dc,2012,9,51077.5,1.0,2.2240765426745163e-05
969,dc,2012,10,56905.0,1.0,1.7573148229505316e-05
970,dc,2012,11,53684.0,1.3333333333333333,2.582716888444308e-05
971,dc,2012,12,50463.0,1.6666666666666665,3.408118953938085e-05
972,dc,2013,1,47242.0,2.0,4.2335210194318616e-05
973,dc,2013,2,46461.2,1.8,3.8483055782941164e-05
974,dc,2013,3,45680.4,1.6,3.463090137156371e-05
975,dc,2013,4,44899.6,1.4,3.077874696018626e-05
976,dc,2013,5,44118.8,1.2,2.6926592548808807e-05
977,dc,2013,6,43338.0,1.0,2.3074438137431354e-05
978,dc,2013,7,42906.444444444445,1.0,2.33268308471574e-05
979,dc,2013,8,42474.88888888889,1.0,2.357922355688345e-05
980,dc,2013,9,42043.333333333336,1.0,2.3831616266609496e-05
981,dc,2013,10,41611.77777777778,1.0,2.4084008976335546e-05
982,dc,2013,11,41180.22222222222,1.0,2.4336401686061592e-05
983,dc,2013,12,40748.666666666664,1.0,2.458879439578764e-05
984,dc,2014,1,40317.11111111111,1.0,2.4841187105513688e-05
985,dc,2014,2,39885.555555555555,1.0,2.5093579815239737e-05
986,dc,2014,3,39454.0,1.0,2.5345972524965784e-05
987,dc,2014,4,45921.0,2.0,4.3553058513534114e-05
988,dc,2014,5,46233.57142857143,1.8571428571428572,4.030064036775321e-05
989,dc,2014,6,46546.142857142855,1.7142857142857144,3.704822222197232e-05
990,dc,2014,7,46858.71428571428,1.5714285714285714,3.379580407619142e-05
991,dc,2014,8,47171.28571428572,1.4285714285714286,3.054338593041052e-05
992,dc,2014,9,47483.857142857145,1.2857142857142858,2.729096778462962e-05
993,dc,2014,10,47796.42857142857,1.1428571428571428,2.4038549638848723e-05
994,dc,2014,11,48109.0,1.0,2.0786131493067825e-05
995,dc,2014,12,49996.0,1.0,2.000160012801024e-05
996,dc,2015,1,38759.0,1.0,3.3803134094141716e-05
997,dc,2015,2,27522.0,1.0,4.760466806027319e-05
998,dc,2015,3,16285.0,1.0,6.140620202640467e-05
999,dc,2015,4,26940.666666666664,1.3333333333333333,5.4753821053055875e-05
1000,dc,2015,5,37596.33333333333,1.6666666666666665,4.810144007970708e-05
1001,dc,2015,6,48252.0,2.0,4.1449059106358285e-05
1002,dc,2015,7,49686.0,1.75,3.571745299465721e-05
1003,dc,2015,8,51120.0,1.5,2.998584688295613e-05
1004,dc,2015,9,52554.0,1.25,2.4254240771255054e-05
1005,dc,2015,10,53988.0,1.0,1.8522634659553976e-05
1006,dc,2015,11,35806.5,1.0,3.763011165601812e-05
1007,dc,2015,12,17625.0,1.0,5.673758865248227e-05
1008,dc,2016,1,28011.6,1.0,4.8265369234185706e-05
1009,dc,2016,2,38398.2,1.0,3.979314981588915e-05
1010,dc,2016,3,48784.8,1.0,3.1320930397592585e-05
1011,dc,2016,4,59171.4,1.0,2.284871097929602e-05
1012,dc,2016,5,69558.0,1.0,1.4376491560999454e-05
1013,dc,2016,6,65090.0,1.0,1.5520384503524395e-05
1014,dc,2016,7,60622.0,1.0,1.666427744604934e-05
1015,dc,2016,8,56154.0,1.0,1.780817038857428e-05
1016,dc,2016,9,55772.5,2.5,4.501103397658029e-05
1017,dc,2016,10,55391.0,4.0,7.22138975645863e-05
1018,dc,2016,11,63577.0,3.4,5.9847508454592596e-05
1019,dc,2016,12,71763.0,2.8,4.7481119344598895e-05
1020,dc,2017,1,79949.0,2.2,3.5114730234605195e-05
1021,dc,2017,2,88135.0,1.6,2.274834112461149e-05
1022,dc,2017,3,96321.0,1.0,1.0381952014617788e-05
1023,dc,2017,4,74414.0,1.0,1.3438331496761362e-05
1024,dc,2017,5,95490.0,1.0,1.0472300764477956e-05
1025,dc,2017,6,92806.09090909091,1.2727272727272727,1.5032671494567081e-05
1026,dc,2017,7,90122.18181818182,1.5454545454545454,1.9593042224656206e-05
1027,dc,2017,8,87438.27272727272,1.8181818181818181,2.4153412954745334e-05
1028,dc,2017,9,84754.36363636363,2.090909090909091,2.871378368483446e-05
1029,dc,2017,10,82070.45454545454,2.3636363636363633,3.3274154414923583e-05
1030,dc,2017,11,79386.54545454546,2.6363636363636362,3.783452514501271e-05
1031,dc,2017,12,76702.63636363637,2.909090909090909,4.239489587510183e-05
1032,dc,2018,1,74018.72727272726,3.1818181818181817,4.695526660519096e-05
1033,dc,2018,2,71334.81818181818,3.454545454545454,5.151563733528009e-05
1034,dc,2018,3,68650.90909090909,3.727272727272727,5.607600806536921e-05
1035,dc,2018,4,65967.0,4.0,6.063637879545834e-05
1036,dc,2018,5,70075.75,3.25,4.851119104059997e-05
1037,dc,2018,6,74184.5,2.5,3.638600328574159e-05
1038,dc,2018,7,78293.25,1.75,2.4260815530883223e-05
1039,dc,2018,8,82402.0,1.0,1.2135627776024854e-05
1040,dc,2018,9,84260.0,1.0,1.1868027533823878e-05
1041,dc,2018,10,78373.5,1.0,1.3018687086445254e-05
1042,dc,2018,11,72487.0,1.0,1.4169346639066632e-05
1043,dc,2018,12,66600.5,1.0,1.5320006191688007e-05
1044,dc,2019,1,60714.0,1.0,1.6470665744309385e-05
1045,dc,2019,2,65139.25,1.0,1.5541164837786333e-05
1046,dc,2019,3,69564.5,1.0,1.4611663931263282e-05
1047,dc,2019,4,73989.75,1.0,1.368216302474023e-05
1048,dc,2019,5,78415.0,1.0,1.2752662118217178e-05
1049,dc,2019,6,78159.0625,1.0625,1.368913608704425e-05
1050,dc,2019,7,77903.125,1.125,1.4625610055871325e-05
1051,dc,2019,8,77647.1875,1.1875,1.5562084024698397e-05
1052,dc,2019,9,77391.25,1.25,1.649855799352547e-05
1053,dc,2019,10,77135.3125,1.3125,1.7435031962352542e-05
1054,dc,2019,11,76879.375,1.375,1.8371505931179618e-05
1055,dc,2019,12,76623.4375,1.4375,1.930797990000669e-05
1056,dc,2020,1,76367.5,1.5,2.0244453868833763e-05
1057,dc,2020,2,76111.5625,1.5625,2.1180927837660836e-05
1058,dc,2020,3,75855.625,1.625,2.2117401806487908e-05
1059,dc,2020,4,75599.6875,1.6875,2.3053875775314984e-05
1060,dc,2020,5,75343.75,1.75,2.3990349744142053e-05
1061,dc,2020,6,75087.8125,1.8125,2.492682371296913e-05
1062,dc,2020,7,74831.875,1.875,2.58632976817962e-05
1063,dc,2020,8,74575.9375,1.9375,2.6799771650623274e-05
1064,dc,2020,9,74320.0,2.0,2.773624561945035e-05
1065,dc,2020,10,74064.0625,2.0625,2.867271958827742e-05
1066,dc,2020,11,73808.125,2.125,2.9609193557104495e-05
1067,dc,2020,12,73552.1875,2.1875,3.054566752593157e-05
1068,dc,2021,1,73296.25,2.25,3.148214149475864e-05
1069,dc,2021,2,73040.3125,2.3125,3.2418615463585715e-05
1070,dc,2021,3,72784.375,2.375,3.3355089432412785e-05
1071,dc,2021,4,72528.4375,2.4375,3.429156340123986e-05
1072,dc,2021,5,72272.5,2.5,3.522803737006693e-05
1073,dc,2021,6,72016.5625,2.5625,3.6164511338894005e-05
1074,dc,2021,7,71760.625,2.625,3.710098530772108e-05
1075,dc,2021,8,71504.6875,2.6875,3.803745927654815e-05
1076,dc,2021,9,71248.75,2.75,3.8973933245375226e-05
1077,dc,2021,10,70992.8125,2.8125,3.9910407214202295e-05
1078,dc,2021,11,70736.875,2.875,4.084688118302937e-05
1079,dc,2021,12,70480.9375,2.9375,4.178335515185645e-05
1080,fl,2012,1,70225.0,3.0,4.2719829120683516e-05
1081,fl,2012,2,246968.0,8.0,3.239286061352078e-05
1082,fl,2012,3,363873.0,27.0,7.420171323511225e-05
1083,fl,2012,4,267792.0,15.0,5.601362251299516e-05
1084,fl,2012,5,184790.0,7.0,3.788083770766816e-05
1085,fl,2012,6,424203.0,17.0,4.007515269811859e-05
1086,fl,2012,7,602404.0,25.0,4.150038844363583e-05
1087,fl,2012,8,586568.0,17.0,2.898214699744957e-05
1088,fl,2012,9,420005.0,17.0,4.04757086225164e-05
1089,fl,2012,10,540714.0,24.0,4.4385756610703624e-05
1090,fl,2012,11,522459.0,15.0,2.871038684375233e-05
1091,fl,2012,12,439020.0,12.0,2.7333606669400026e-05
1092,fl,2013,1,473539.0,21.0,4.4346928130523566e-05
1093,fl,2013,2,350690.0,13.0,3.706977672588326e-05
1094,fl,2013,3,497860.0,22.0,4.418912947414936e-05
1095,fl,2013,4,362469.0,11.0,3.034742281408893e-05
1096,fl,2013,5,464835.0,15.0,3.226951498918971e-05
1097,fl,2013,6,466553.0,18.0,3.858082575827398e-05
1098,fl,2013,7,476258.0,15.0,3.149553393328826e-05
1099,fl,2013,8,476359.0,22.0,4.6183655604281646e-05
1100,fl,2013,9,405119.0,16.0,3.949456826265863e-05
1101,fl,2013,10,404630.5,14.0,3.459355103751575e-05
1102,fl,2013,11,404142.0,12.0,2.969253381237288e-05
1103,fl,2013,12,407393.0,22.0,5.400190970389771e-05
1104,fl,2014,1,359543.5,19.5,5.427129050165658e-05
1105,fl,2014,2,311694.0,17.0,5.454067129941545e-05
1106,fl,2014,3,323316.0,11.0,3.402244244021329e-05
1107,fl,2014,4,375636.0,10.0,2.662151657455622e-05
1108,fl,2014,5,382914.0,6.0,1.566931478086463e-05
1109,fl,2014,6,417157.0,20.0,4.794357999506181e-05
1110,fl,2014,7,350878.0,13.0,3.7049914785195995e-05
1111,fl,2014,8,97904.0,2.0,2.0428174538323256e-05
1112,fl,2014,9,323721.0,3.0,9.267239382060477e-06
1113,fl,2014,10,294385.0,11.0,3.736603427484417e-05
1114,fl,2014,11,341658.0,6.0,1.7561421070193e-05
1115,fl,2014,12,335878.0,12.0,3.5727258111576226e-05
1116,fl,2015,1,259164.6666666667,9.333333333333334,3.6427956005736484e-05
1117,fl,2015,2,182451.33333333334,6.666666666666667,3.712865389989675e-05
1118,fl,2015,3,105738.0,4.0,3.7829351794057006e-05
1119,fl,2015,4,249053.0,6.0,2.40912576841074e-05
1120,fl,2015,5,324920.0,7.0,2.1543764618983133e-05
1121,fl,2015,6,315074.0,7.0,2.221700298977383e-05
1122,fl,2015,7,393640.0,8.0,2.03231378924906e-05
1123,fl,2015,8,334968.0,6.5,1.9209836022134928e-05
1124,fl,2015,9,276296.0,5.0,1.8096534151779253e-05
1125,fl,2015,10,327683.0,3.0,9.155189619235664e-06
1126,fl,2015,11,271366.0,6.0,2.2110360177767297e-05
1127,fl,2015,12,235514.0,7.0,2.9722224581128936e-05
1128,fl,2016,1,415305.0,4.0,9.631475662464935e-06
1129,fl,2016,2,308901.0,13.0,4.2084680852441394e-05
1130,fl,2016,3,296444.0,7.0,2.3613228805440488e-05
1131,fl,2016,4,395379.0,10.0,2.5292188001891857e-05
1132,fl,2016,5,413867.0,12.0,2.8994822008036397e-05
1133,fl,2016,6,333288.0,3.0,9.001224166486642e-06
1134,fl,2016,7,141531.0,3.0,2.1196769612311083e-05
1135,fl,2016,8,320541.0,9.0,2.807753142343725e-05
1136,fl,2016,9,430380.0,10.0,2.323528044983503e-05
1137,fl,2016,10,292303.0,5.0,1.7105537746790147e-05
1138,fl,2016,11,371374.0,6.0,1.615621987538169e-05
1139,fl,2016,12,406952.0,16.0,3.931667616819674e-05
1140,fl,2017,1,442970.0,15.0,3.386233830733458e-05
1141,fl,2017,2,369505.0,21.0,5.683278981339901e-05
1142,fl,2017,3,447507.0,8.0,1.7876815334732194e-05
1143,fl,2017,4,361364.0,10.0,2.7672928127871066e-05
1144,fl,2017,5,474456.0,2.0,4.215354005429376e-06
1145,fl,2017,6,417253.0,6.0,1.4379764794980503e-05
1146,fl,2017,7,414289.4285714286,5.285714285714286,1.2685800854304066e-05
1147,fl,2017,8,411325.85714285716,4.571428571428571,1.0991836913627628e-05
1148,fl,2017,9,408362.28571428574,3.857142857142857,9.297872972951193e-06
1149,fl,2017,10,405398.71428571426,3.142857142857143,7.6039090322747545e-06
1150,fl,2017,11,402435.14285714284,2.4285714285714284,5.909945091598318e-06
1151,fl,2017,12,399471.5714285714,1.7142857142857144,4.2159811509218806e-06
1152,fl,2018,1,396508.0,1.0,2.5220172102454427e-06
1153,fl,2018,2,306226.0,5.5,2.4415159681327662e-05
1154,fl,2018,3,215944.0,10.0,4.630830215240988e-05
1155,fl,2018,4,272066.0,10.0,3.6755787198694437e-05
1156,fl,2018,5,240202.5,9.0,3.757737137355176e-05
1157,fl,2018,6,208339.0,8.0,3.839895554840908e-05
1158,fl,2018,7,317966.0,7.0,2.2014932414157487e-05
1159,fl,2018,8,407954.0,10.0,2.451256759340514e-05
1160,fl,2018,9,402079.0,14.0,3.481902810144275e-05
1161,fl,2018,10,408136.0,3.0,7.350491012799655e-06
1162,fl,2018,11,364025.0,6.0,1.9403432819326796e-05
1163,fl,2018,12,319914.0,9.0,3.145637462585394e-05
1164,fl,2019,1,275803.0,12.0,4.3509316432381084e-05
1165,fl,2019,2,298933.0,3.0,1.0035693616964337e-05
1166,fl,2019,3,280100.0,1.0,3.570153516601214e-06
1167,fl,2019,4,345080.0,16.0,4.636606004404776e-05
1168,fl,2019,5,364626.0,4.0,1.097014475105999e-05
1169,fl,2019,6,286867.0,10.0,3.485935991243329e-05
1170,fl,2019,7,389924.0,7.0,1.7952216329335972e-05
1171,fl,2019,8,381886.0,8.0,2.0948660071330188e-05
1172,fl,2019,9,296991.0,6.666666666666667,2.444787126795791e-05
1173,fl,2019,10,212096.0,5.333333333333334,2.7947082464585635e-05
1174,fl,2019,11,127201.0,4.0,3.144629366121336e-05
1175,fl,2019,12,37737.0,2.0,5.2998383549301745e-05
1176,fl,2020,1,115195.0,2.0,3.168987139033295e-05
1177,fl,2020,2,192653.0,2.0,1.0381359231364163e-05
1178,fl,2020,3,7690.0,1.0,0.00013003901170351105
1179,fl,2020,4,201801.0,2.0,9.910753663262322e-06
1180,fl,2020,5,243198.0,2.0,8.223751840064475e-06
1181,fl,2020,6,207820.0,1.0,4.8118564142046e-06
1182,fl,2020,7,314920.0,1.0,3.5907061797102336e-06
1183,fl,2020,8,422020.0,1.0,2.3695559452158667e-06
1184,fl,2020,9,413901.0,3.0,7.24811005530308e-06
1185,fl,2020,10,429465.5,2.0,4.747574790364166e-06
1186,fl,2020,11,445030.0,1.0,2.2470395254252524e-06
1187,fl,2020,12,408937.0,2.0,4.890728889780088e-06
1188,fl,2021,1,284264.5,2.5,1.1844331811675347e-05
1189,fl,2021,2,159592.0,3.0,1.8797934733570605e-05
1190,fl,2021,3,169495.0,2.0,1.1799758104958848e-05
1191,fl,2021,4,165460.33333333334,1.6666666666666667,9.984373218704068e-06
1192,fl,2021,5,161425.66666666666,1.3333333333333335,8.168988332449288e-06
1193,fl,2021,6,157391.0,1.0,6.353603446194509e-06
1194,fl,2021,7,161982.0,1.0,6.173525453445445e-06
1195,fl,2021,8,247738.5,1.5,6.085308432055636e-06
1196,fl,2021,9,333495.0,2.0,5.997091410665827e-06
1197,fl,2021,10,167536.0,2.0,1.1937732785789323e-05
1198,fl,2021,11,166067.5,2.0,1.204423744618174e-05
1199,fl,2021,12,164599.0,2.0,1.2150742106574158e-05
1200,ga,2012,1,163772.0,3.5,2.1417971317179806e-05
1201,ga,2012,2,162945.0,5.0,3.068520052778545e-05
1202,ga,2012,3,235693.0,10.0,4.2428073807877197e-05
1203,ga,2012,4,168306.0,9.0,5.347402944636555e-05
1204,ga,2012,5,111735.0,4.0,3.579898867856983e-05
1205,ga,2012,6,250122.0,2.0,7.99609790422274e-06
1206,ga,2012,7,352477.0,9.0,2.5533580914499387e-05
1207,ga,2012,8,311182.0,5.0,1.60677674158531e-05
1208,ga,2012,9,222454.0,8.0,3.5962491121760006e-05
1209,ga,2012,10,286145.0,11.0,3.844204861171784e-05
1210,ga,2012,11,279031.0,5.0,1.7919155936078786e-05
1211,ga,2012,12,236497.0,3.0,1.2685150340173448e-05
1212,ga,2013,1,252496.0,4.0,1.584183511818009e-05
1213,ga,2013,2,178834.0,6.0,3.355066709909749e-05
1214,ga,2013,3,239300.0,7.0,2.9251984956122022e-05
1215,ga,2013,4,169716.0,6.0,3.535317825072474e-05
1216,ga,2013,5,222065.0,4.0,1.8012744016391597e-05
1217,ga,2013,6,216378.0,3.0,1.3864625793749828e-05
1218,ga,2013,7,226489.0,9.0,3.973702917139464e-05
1219,ga,2013,8,217421.0,5.0,2.2996858629111263e-05
1220,ga,2013,9,184803.0,10.0,5.411167567626067e-05
1221,ga,2013,10,188261.0,6.5,3.487978851594526e-05
1222,ga,2013,11,191719.0,3.0,1.5647901355629855e-05
1223,ga,2013,12,196252.0,5.0,2.5477447363593747e-05
1224,ga,2014,1,172565.0,4.5,2.6172541975970626e-05
1225,ga,2014,2,148878.0,4.0,2.6867636588347505e-05
1226,ga,2014,3,144793.0,5.0,3.453205610768476e-05
1227,ga,2014,4,172491.0,3.0,1.7392211767570482e-05
1228,ga,2014,5,177485.0,4.0,2.2537115812603883e-05
1229,ga,2014,6,196462.0,1.0,5.090042858160866e-06
1230,ga,2014,7,161442.0,4.0,2.4776699991328154e-05
1231,ga,2014,8,44974.0,1.0,2.223506915106506e-05
1232,ga,2014,9,149839.0,5.0,3.336914955385447e-05
1233,ga,2014,10,136486.0,1.0,7.326758788447166e-06
1234,ga,2014,11,158093.0,3.0,1.8976172253040932e-05
1235,ga,2014,12,161144.0,1.0,6.205629747306756e-06
1236,ga,2015,1,122882.0,1.0,1.1327503110943047e-05
1237,ga,2015,2,84620.0,1.0,1.6449376474579336e-05
1238,ga,2015,3,46358.0,1.0,2.1571249838215627e-05
1239,ga,2015,4,111325.0,1.0,8.982708286548395e-06
1240,ga,2015,5,147034.0,3.0,2.040344410136431e-05
1241,ga,2015,6,142631.0,4.0,2.804439427613913e-05
1242,ga,2015,7,180125.0,2.0,1.1103400416377515e-05
1243,ga,2015,8,98685.0,2.0,2.026650453463039e-05
1244,ga,2015,9,120058.0,3.0,2.4987922504123007e-05
1245,ga,2015,10,148770.0,3.0,2.0165355918531963e-05
1246,ga,2015,11,126261.0,1.0,7.9201020109139e-06
1247,ga,2015,12,116333.0,1.0,8.596013169092175e-06
1248,ga,2016,1,204721.0,1.0,4.884696733603294e-06
1249,ga,2016,2,153710.0,5.0,3.252878797735996e-05
1250,ga,2016,3,144036.0,4.0,2.7770835069010526e-05
1251,ga,2016,4,175476.0,4.0,2.3551175619911902e-05
1252,ga,2016,5,206916.0,4.0,1.9331516170813277e-05
1253,ga,2016,6,163889.0,2.0,1.2203381557029453e-05
1254,ga,2016,7,72078.0,3.0,4.162157662532257e-05
1255,ga,2016,8,157983.0,3.0,1.8989384933821994e-05
1256,ga,2016,9,214216.0,2.0,9.336370765955857e-06
1257,ga,2016,10,142892.0,1.0,6.9982924166503375e-06
1258,ga,2016,11,187312.0,4.0,2.135474502434441e-05
1259,ga,2016,12,211489.0,5.0,2.3641891540458368e-05
1260,ga,2017,1,231550.0,4.0,1.7274886633556468e-05
1261,ga,2017,2,193688.0,4.0,2.065176985667672e-05
1262,ga,2017,3,193333.0,7.5,3.8826543034443717e-05
1263,ga,2017,4,192978.0,11.0,5.700131621221072e-05
1264,ga,2017,5,237681.0,4.0,1.6829279580614354e-05
1265,ga,2017,6,214526.0,6.0,2.7968637834108684e-05
1266,ga,2017,7,214769.7142857143,5.571428571428571,2.5955116314798082e-05
1267,ga,2017,8,215013.42857142858,5.142857142857143,2.394159479548748e-05
1268,ga,2017,9,215257.14285714287,4.714285714285714,2.1928073276176882e-05
1269,ga,2017,10,215500.85714285713,4.285714285714286,1.991455175686628e-05
1270,ga,2017,11,215744.57142857142,3.857142857142857,1.7901030237555678e-05
1271,ga,2017,12,215988.2857142857,3.428571428571429,1.588750871824508e-05
1272,ga,2018,1,216232.0,3.0,1.3873987198934477e-05
1273,ga,2018,2,168171.0,4.0,2.378531375802011e-05
1274,ga,2018,3,114158.0,4.0,3.503915625711733e-05
1275,ga,2018,4,140370.0,9.0,6.411626415900834e-05
1276,ga,2018,5,124884.5,5.5,4.1198983458401603e-05
1277,ga,2018,6,109399.0,2.0,1.8281702757794862e-05
1278,ga,2018,7,165169.0,2.0,1.2108809764544194e-05
1279,ga,2018,8,208219.0,8.0,3.8421085491717855e-05
1280,ga,2018,9,208295.0,6.0,2.880530017523224e-05
1281,ga,2018,10,214761.0,3.0,1.3969016720913014e-05
1282,ga,2018,11,194207.33333333334,4.0,2.2376035096763695e-05
1283,ga,2018,12,173653.66666666666,5.0,3.078305347261438e-05
1284,ga,2019,1,153100.0,6.0,3.919007184846505e-05
1285,ga,2019,2,171275.0,3.0,1.7515691139979565e-05
1286,ga,2019,3,155123.0,1.0,6.446497295694384e-06
1287,ga,2019,4,190037.0,19.0,9.99805301072949e-05
1288,ga,2019,5,201557.0,1.0,4.961375690251393e-06
1289,ga,2019,6,162600.0,2.0,1.2300123001230013e-05
1290,ga,2019,7,213893.0,1.0,4.675234813668516e-06
1291,ga,2019,8,211889.0,3.0,1.4158356497977715e-05
1292,ga,2019,9,200632.375,2.75,1.3414531271558991e-05
1293,ga,2019,10,189375.75,2.5,1.2670706045140268e-05
1294,ga,2019,11,178119.125,2.25,1.1926880818721543e-05
1295,ga,2019,12,166862.5,2.0,1.118305559230282e-05
1296,ga,2020,1,155605.875,1.75,1.0439230365884096e-05
1297,ga,2020,2,144349.25,1.5,9.695405139465373e-06
1298,ga,2020,3,133092.625,1.25,8.95157991304665e-06
1299,ga,2020,4,121836.0,1.0,8.207754686627926e-06
1300,ga,2020,5,123192.5,2.0,1.6147330120935623e-05
1301,ga,2020,6,124549.0,3.0,2.408690555524332e-05
1302,ga,2020,7,189061.0,2.5,1.598709031000878e-05
1303,ga,2020,8,253573.0,2.0,7.887275064774246e-06
1304,ga,2020,9,254501.5,2.5,9.81608791018143e-06
1305,ga,2020,10,255430.0,3.0,1.1744900755588615e-05
1306,ga,2020,11,274762.0,2.0,7.2790269396787035e-06
1307,ga,2020,12,264377.0,1.0,3.782477295680033e-06
1308,ga,2021,1,132272.0,1.0,7.560179025039313e-06
1309,ga,2021,2,102882.0,2.0,1.9439746505705567e-05
1310,ga,2021,3,108588.0,1.0,9.209120713154309e-06
1311,ga,2021,4,102128.0,1.0,9.791634027886574e-06
1312,ga,2021,5,186077.0,1.0,5.374119316197058e-06
1313,ga,2021,6,157718.0,1.0,6.8830762438013395e-06
1314,ga,2021,7,129359.0,1.0,8.39203317140562e-06
1315,ga,2021,8,101000.0,1.0,9.900990099009901e-06
1316,ga,2021,9,206486.0,5.0,2.421471673624362e-05
1317,ga,2021,10,157652.5,3.0,1.6702144205153946e-05
1318,ga,2021,11,108819.0,1.0,9.189571674064272e-06
1319,ga,2021,12,104622.54166666667,1.0,1.3948166766782803e-05
1320,hi,2012,1,100426.08333333333,1.0,1.8706761859501332e-05
1321,hi,2012,2,96229.625,1.0,2.3465356952219864e-05
1322,hi,2012,3,92033.16666666667,1.0,2.8223952044938393e-05
1323,hi,2012,4,87836.70833333334,1.0,3.298254713765692e-05
1324,hi,2012,5,83640.25,1.0,3.774114223037545e-05
1325,hi,2012,6,79443.79166666667,1.0,4.249973732309398e-05
1326,hi,2012,7,75247.33333333334,1.0,4.725833241581251e-05
1327,hi,2012,8,71050.875,1.0,5.2016927508531037e-05
1328,hi,2012,9,66854.41666666667,1.0,5.6775522601249565e-05
1329,hi,2012,10,62657.958333333336,1.0,6.15341176939681e-05
1330,hi,2012,11,58461.5,1.0,6.629271278668663e-05
1331,hi,2012,12,54265.04166666667,1.0,7.105130787940515e-05
1332,hi,2013,1,50068.583333333336,1.0,7.580990297212369e-05
1333,hi,2013,2,45872.12500000001,1.0,8.056849806484221e-05
1334,hi,2013,3,41675.66666666667,1.0,8.532709315756074e-05
1335,hi,2013,4,37479.20833333334,1.0,9.008568825027928e-05
1336,hi,2013,5,33282.75,1.0,9.48442833429978e-05
1337,hi,2013,6,29086.29166666667,1.0,9.960287843571634e-05
1338,hi,2013,7,24889.833333333343,1.0,0.00010436147352843486
1339,hi,2013,8,20693.375,1.0,0.0001091200686211534
1340,hi,2013,9,16496.91666666667,1.0,0.00011387866371387192
1341,hi,2013,10,12300.458333333343,1.0,0.00011863725880659045
1342,hi,2013,11,8104.0,1.0,0.00012339585389930897
1343,hi,2013,12,7962.4,1.0,0.0001260084216194259
1344,hi,2014,1,7820.8,1.0,0.00012862098933954288
1345,hi,2014,2,7679.2,1.0,0.00013123355705965982
1346,hi,2014,3,7537.6,1.0,0.00013384612477977678
1347,hi,2014,4,7396.0,1.0,0.00013645869249989372
1348,hi,2014,5,7254.4,1.0,0.00013907126022001068
1349,hi,2014,6,7112.8,1.0,0.00014168382794012762
1350,hi,2014,7,6971.2,1.0,0.00014429639566024456
1351,hi,2014,8,6829.6,1.0,0.00014690896338036153
1352,hi,2014,9,6688.0,1.0,0.00014952153110047846
1353,hi,2014,10,6680.0,1.0,0.00014970102873685358
1354,hi,2014,11,6672.0,1.0,0.00014988052637322872
1355,hi,2014,12,6664.0,1.0,0.00015006002400960383
1356,hi,2015,1,7211.7692307692305,1.0,0.00014409714668490648
1357,hi,2015,2,7759.538461538461,1.0,0.00013813426936020912
1358,hi,2015,3,8307.307692307691,1.0,0.0001321713920355118
1359,hi,2015,4,8855.076923076922,1.0,0.00012620851471081444
1360,hi,2015,5,9402.846153846152,1.0,0.00012024563738611708
1361,hi,2015,6,9950.615384615385,1.0,0.00011428276006141973
1362,hi,2015,7,10498.384615384615,1.0,0.00010831988273672237
1363,hi,2015,8,11046.153846153846,1.0,0.00010235700541202502
1364,hi,2015,9,11593.923076923076,1.0,9.639412808732768e-05
1365,hi,2015,10,12141.692307692307,1.0,9.043125076263032e-05
1366,hi,2015,11,12689.461538461539,1.0,8.446837343793297e-05
1367,hi,2015,12,13237.23076923077,1.0,7.850549611323562e-05
1368,hi,2016,1,13785.0,1.0,7.254261878853827e-05
1369,hi,2016,2,13959.0,1.0,7.168131440988213e-05
1370,hi,2016,3,14133.0,1.0,7.0820010031226e-05
1371,hi,2016,4,14307.0,1.0,6.995870565256986e-05
1372,hi,2016,5,14481.0,1.0,6.909740127391373e-05
1373,hi,2016,6,14655.0,1.0,6.82360968952576e-05
1374,hi,2016,7,15944.666666666666,1.0,6.348540484012638e-05
1375,hi,2016,8,17234.333333333332,1.0,5.8734712784995175e-05
1376,hi,2016,9,18524.0,1.0,5.398402072986396e-05
1377,hi,2016,10,17521.0,1.0,5.726201884053435e-05
1378,hi,2016,11,16518.0,1.0,6.054001695120475e-05
