cbsa,YEAR,alcohol
24620,2012,6
24640,2012,13
24660,2012,42
24700,2012,3
24740,2012,3
24780,2012,11
24820,2012,5
24860,2012,58
24900,2012,5
24940,2012,5
24980,2012,2
25060,2012,57
25100,2012,2
25180,2012,38
25200,2012,3
25220,2012,1
25260,2012,6
25300,2012,NA
25420,2012,72
25460,2012,4
25500,2012,7
25540,2012,281
25580,2012,1
25620,2012,29
25700,2012,11
25720,2012,1
25740,2012,6
25760,2012,3
25780,2012,2
25820,2012,2
25840,2012,4
25860,2012,16
25880,2012,2
25900,2012,3
25940,2012,24
25980,2012,4
26020,2012,4
26090,2012,13
26140,2012,10
26220,2012,4
26260,2012,NA
26300,2012,27
26340,2012,5
26380,2012,1
26420,2012,372
26460,2012,14
26500,2012,8
26540,2012,5
26580,2012,21
26620,2012,33
26660,2012,6
26700,2012,NA
26740,2012,10
26780,2012,7
26820,2012,5
26860,2012,12
26900,2012,256
26940,2012,3
26960,2012,6
26980,2012,7
27020,2012,2
27060,2012,13
27100,2012,23
27140,2012,53
27160,2012,2
27180,2012,12
27220,2012,5
27260,2012,87
27300,2012,1
27340,2012,7
27380,2012,3
27420,2012,4
27460,2012,17
27500,2012,11
27540,2012,8
27600,2012,3
27620,2012,5
27660,2012,NA
27700,2012,5
27740,2012,12
27780,2012,38
27860,2012,6
27900,2012,18
27920,2012,7
27940,2012,5
27980,2012,4
28020,2012,49
28060,2012,9
28100,2012,13
28140,2012,232
28180,2012,3
28260,2012,4
28300,2012,9
28340,2012,6
28380,2012,3
28420,2012,16
28500,2012,9
28540,2012,3
28580,2012,15
28620,2012,10
28660,2012,29
28700,2012,20
28740,2012,35
28780,2012,2
28820,2012,3
28860,2012,2
28900,2012,2
28940,2012,70
29020,2012,14
29060,2012,4
29100,2012,5
29180,2012,8
29200,2012,21
29260,2012,1
29300,2012,6
29340,2012,5
29380,2012,5
29420,2012,2
29460,2012,36
29500,2012,1
29540,2012,45
29620,2012,40
29660,2012,4
29700,2012,18
29740,2012,5
29780,2012,1
29820,2012,77
29860,2012,10
29900,2012,1
29940,2012,28
29980,2012,3
30020,2012,10
30060,2012,5
30140,2012,15
30220,2012,1
30260,2012,7
30280,2012,2
30300,2012,2
30340,2012,5
30380,2012,6
30420,2012,4
30460,2012,45
30580,2012,5
30620,2012,6
30660,2012,1
30700,2012,17
30780,2012,80
30820,2012,5
30860,2012,3
30880,2012,1
30900,2012,5
30940,2012,2
30980,2012,31
31020,2012,5
31060,2012,NA
31080,2012,1398
31140,2012,165
31180,2012,38
31220,2012,2
31260,2012,2
31300,2012,6
31340,2012,12
31380,2012,3
31420,2012,30
31460,2012,13
31500,2012,7
31540,2012,61
31580,2012,8
31620,2012,NA
31660,2012,6
31680,2012,NA
31700,2012,20
31740,2012,18
31820,2012,4
31860,2012,13
31900,2012,10
31930,2012,4
31940,2012,4
31980,2012,9
32000,2012,1
32020,2012,3
32100,2012,7
32140,2012,8
32180,2012,1
32220,2012,3
32260,2012,2
32280,2012,NA
32300,2012,3
32340,2012,NA
32380,2012,2
32460,2012,NA
32500,2012,2
32540,2012,3
32580,2012,37
32620,2012,8
32660,2012,NA
32700,2012,5
32740,2012,14
32780,2012,15
32820,2012,151
32860,2012,3
32900,2012,16
32940,2012,16
32980,2012,3
33020,2012,1
33060,2012,2
33100,2012,436
33140,2012,15
33180,2012,NA
33220,2012,7
33260,2012,14
33300,2012,7
33340,2012,136
33420,2012,6
33460,2012,496
33500,2012,5
33540,2012,5
33580,2012,NA
33620,2012,3
33660,2012,39
33700,2012,40
33740,2012,11
33780,2012,23
33860,2012,23
33940,2012,12
33980,2012,6
34020,2012,NA
34060,2012,3
34100,2012,5
34140,2012,4
34180,2012,4
34220,2012,4
34260,2012,12
34300,2012,1
34340,2012,4
34380,2012,10
34420,2012,4
34460,2012,3
34500,2012,5
34540,2012,4
34580,2012,9
34620,2012,17
34660,2012,NA
34700,2012,1
34740,2012,18
34780,2012,4
34820,2012,55
34860,2012,8
34900,2012,50
34940,2012,19
34980,2012,183
35020,2012,5
35060,2012,4
35100,2012,11
35140,2012,2
35220,2012,8
35260,2012,12
35300,2012,168
35380,2012,28
35420,2012,16
35440,2012,10
35460,2012,3
35500,2012,1
35580,2012,4
35620,2012,3246
35660,2012,27
35700,2012,2
35740,2012,5
35820,2012,7
35840,2012,55
35860,2012,5
35900,2012,3
35940,2012,5
35980,2012,68
36020,2012,7
36100,2012,13
36140,2012,26
36220,2012,19
36260,2012,7
36300,2012,18
36340,2012,9
36380,2012,5
36420,2012,128
36460,2012,13
36500,2012,15
36540,2012,34
36580,2012,11
36620,2012,3
36660,2012,NA
36700,2012,5
36740,2012,142
36780,2012,5
36820,2012,2
36830,2012,2
36840,2012,7
36860,2012,14
36900,2012,1
36940,2012,9
36980,2012,12
37020,2012,4
37060,2012,13
37080,2012,3
37100,2012,122
37120,2012,3
37140,2012,13
37220,2012,1
37260,2012,4
37300,2012,2
37340,2012,42
37420,2012,5
37460,2012,26
37500,2012,5
37540,2012,7
37580,2012,3
37620,2012,2
37660,2012,6
37740,2012,2
37780,2012,1
37800,2012,NA
37860,2012,27
37900,2012,25
37940,2012,3
37980,2012,813
38060,2012,128
38100,2012,NA
38180,2012,2
38220,2012,17
38240,2012,5
38260,2012,9
38300,2012,383
38340,2012,38
38380,2012,4
38420,2012,6
38460,2012,13
38500,2012,5
38540,2012,6
38580,2012,4
38620,2012,6
38700,2012,4
38740,2012,2
38780,2012,1
38820,2012,5
38840,2012,2
38860,2012,20
38900,2012,124
38920,2012,2
38940,2012,36
39020,2012,2
39060,2012,32
39140,2012,13
39220,2012,2
39260,2012,1
39300,2012,331
39340,2012,6
39380,2012,37
39420,2012,4
39460,2012,12
39500,2012,NA
39540,2012,16
39580,2012,54
39660,2012,8
39700,2012,NA
39740,2012,52
39780,2012,1
39820,2012,9
39860,2012,12
39900,2012,33
39940,2012,NA
39980,2012,14
40060,2012,73
40080,2012,12
40100,2012,8
40140,2012,351
40180,2012,6
40220,2012,15
40260,2012,10
40300,2012,5
40340,2012,38
40380,2012,127
40420,2012,27
40460,2012,2
40540,2012,6
40580,2012,15
40620,2012,4
40660,2012,14
40700,2012,9
40740,2012,1
40760,2012,NA
40780,2012,1
40820,2012,3
40860,2012,13
40900,2012,158
40940,2012,1
40980,2012,30
41060,2012,34
41100,2012,3
41140,2012,3
41180,2012,147
41220,2012,4
41260,2012,NA
41400,2012,10
41420,2012,15
41460,2012,12
41500,2012,43
41540,2012,85
41620,2012,21
41660,2012,10
41700,2012,164
41740,2012,351
41760,2012,4
41780,2012,6
41820,2012,2
41860,2012,430
41940,2012,174
42020,2012,55
42100,2012,37
42140,2012,13
42200,2012,81
42220,2012,65
42300,2012,2
42340,2012,49
42380,2012,10
42420,2012,3
42460,2012,5
42540,2012,115
42620,2012,1
42660,2012,220
42680,2012,10
42700,2012,3
42740,2012,3
42780,2012,3
42820,2012,2
42860,2012,5
42900,2012,6
42940,2012,7
42980,2012,6
43020,2012,NA
43060,2012,5
43100,2012,6
43140,2012,3
43180,2012,2
43220,2012,3
43260,2012,5
43300,2012,10
43320,2012,3
43340,2012,49
43380,2012,7
43420,2012,6
43460,2012,2
43500,2012,3
43580,2012,11
43620,2012,19
43660,2012,4
43700,2012,NA
43740,2012,11
43760,2012,1
