Geographic Area Name (NAME),Year (YEAR),Number of establishments (ESTAB)
Alabama,2020,393.00 
Alaska,2020,93.00 
Arizona,2020,206.00 
Arkansas,2020,345.00 
California,2020,4173.00 
Colorado,2020,1303.00 
Connecticut,2020,904.00 
Delaware,2020,272.00 
District of Columbia,2020,184.00 
Florida,2020,1466.00 
Georgia,2020,1032.00 
Hawaii,2020,60.00 
Idaho,2020,96.00 
Illinois,2020,1412.00 
Indiana,2020,826.00 
Iowa,2020,144.00 
Kansas,2020,598.00 
Kentucky,2020,591.00 
Louisiana,2020,164.00 
Maine,2020,58.00 
Maryland,2020,1235.00 
Massachusetts,2020,1423.00 
Michigan,2020,1609.00 
Minnesota,2020,844.00 
Mississippi,2020,396.00 
Missouri,2020,407.00 
Montana,2020,80.00 
Nebraska,2020,130.00 
Nevada,2020,151.00 
New Hampshire,2020,95.00 
New Jersey,2020,1794.00 
New Mexico,2020,77.00 
New York,2020,3310.00 
North Carolina,2020,635.00 
North Dakota,2020,92.00 
Ohio,2020,673.00 
Oklahoma,2020,404.00 
Oregon,2020,244.00 
Pennsylvania,2020,1833.00 
Rhode Island,2020,231.00 
South Carolina,2020,472.00 
South Dakota,2020,73.00 
Tennessee,2020,658.00 
Texas,2020,2034.00 
Utah,2020,56.00 
Vermont,2020,116.00 
Virginia,2020,479.00 
Washington,2020,259.00 
West Virginia,2020,70.00 
Wisconsin,2020,401.00 
Wyoming,2020,91.00 
Guam,2020,5.00 
Puerto Rico,2020,78.00 
