Geographic Area Name (NAME),Year (YEAR),Number of establishments (ESTAB)
Alabama,2018,369.00 
Alaska,2018,94.00 
Arizona,2018,206.00 
Arkansas,2018,349.00 
California,2018,4134.00 
Colorado,2018,1340.00 
Connecticut,2018,881.00 
Delaware,2018,260.00 
District of Columbia,2018,189.00 
Florida,2018,1434.00 
Georgia,2018,981.00 
Hawaii,2018,65.00 
Idaho,2018,88.00 
Illinois,2018,1379.00 
Indiana,2018,829.00 
Iowa,2018,144.00 
Kansas,2018,611.00 
Kentucky,2018,553.00 
Louisiana,2018,169.00 
Maine,2018,62.00 
Maryland,2018,1218.00 
Massachusetts,2018,1439.00 
Michigan,2018,1677.00 
Minnesota,2018,861.00 
Mississippi,2018,389.00 
Missouri,2018,392.00 
Montana,2018,77.00 
Nebraska,2018,130.00 
Nevada,2018,156.00 
New Hampshire,2018,95.00 
New Jersey,2018,1805.00 
New Mexico,2018,82.00 
New York,2018,3276.00 
North Carolina,2018,626.00 
North Dakota,2018,89.00 
Ohio,2018,685.00 
Oklahoma,2018,436.00 
Oregon,2018,250.00 
Pennsylvania,2018,1848.00 
Rhode Island,2018,233.00 
South Carolina,2018,455.00 
South Dakota,2018,66.00 
Tennessee,2018,643.00 
Texas,2018,1994.00 
Utah,2018,56.00 
Vermont,2018,116.00 
Virginia,2018,485.00 
Washington,2018,271.00 
West Virginia,2018,72.00 
Wisconsin,2018,424.00 
Wyoming,2018,93.00 
Guam,2018,7.00 
Commonwealth of the Northern Mariana Islands,2018,3.00 
Puerto Rico,2018,76.00 
