,Year,USstate,Cost of Living Index
0,2019,NY,100.0
1,2019,HI,95.67
2,2019,DC,91.99
3,2019,CA,91.67
4,2019,WA,84.16
5,2019,MA,82.68
6,2019,FL,80.45
7,2019,PA,80.19
8,2019,IL,77.75
9,2019,NC,75.63
10,2019,MN,75.33
11,2019,MD,75.24
12,2019,OR,74.93
13,2019,GA,72.26
14,2019,CO,70.72
15,2019,OH,70.36
16,2019,WI,70.22
17,2019,TX,69.94
18,2019,MO,68.81
19,2019,AZ,67.99
20,2019,NV,67.81
21,2019,TN,67.5
22,2019,IN,67.05
23,2019,VA,65.52
24,2019,KY,64.65
25,2019,NM,64.2
26,2019,UT,63.38
27,2019,OK,63.24
28,2019,AR,60.71
29,2019,MI,60.04
30,2019,ID,58.85
