,Year,USstate,Cost of Living Index
0,2013,OH,89.01
1,2013,NM,76.65
2,2013,AK,102.89
3,2013,NC,79.59
4,2013,GA,77.77
5,2013,TX,85.47
6,2013,MD,84.36
7,2013,MA,100.1
8,2013,NY,88.35
9,2013,IL,81.35
10,2013,CO,81.24
11,2013,IA,75.04
12,2013,MI,83.38
13,2013,HI,99.62
14,2013,IN,78.92
15,2013,MO,79.52
16,2013,NV,87.97
17,2013,CA,83.07
18,2013,WI,86.72
19,2013,FL,93.42
20,2013,MN,91.62
21,2013,LA,83.75
22,2013,NJ,80.48
23,2013,NE,83.77
24,2013,PA,94.37
25,2013,AZ,80.14
26,2013,OR,78.15
27,2013,VA,95.13
28,2013,UT,81.96
29,2013,WA,91.79
30,2013,DC,105.57
