,Year,USstate,Cost of Living Index
0,2020,NY,100.0
1,2020,CA,91.51
2,2020,AK,91.36
3,2020,HI,89.7
4,2020,DC,87.74
5,2020,WA,85.77
6,2020,MA,82.88
7,2020,IL,80.18
8,2020,FL,79.26
9,2020,PA,78.84
10,2020,OR,78.63
11,2020,LA,78.46
12,2020,MN,76.7
13,2020,MD,74.29
14,2020,GA,73.89
15,2020,NV,73.85
16,2020,CO,73.3
17,2020,TN,73.19
18,2020,NC,72.4
19,2020,AZ,72.12
20,2020,MO,70.78
21,2020,OH,70.5
22,2020,TX,68.03
23,2020,VA,67.2
24,2020,KY,66.72
25,2020,IN,66.34
26,2020,UT,64.76
27,2020,WI,64.67
28,2020,OK,64.28
29,2020,MI,63.85
30,2020,ID,60.71
31,2020,AR,59.76
