,Year,USstate,Cost of Living Index
0,2017,NY,100.0
1,2017,HI,99.54
2,2017,CA,99.14
3,2017,AK,98.69
4,2017,DC,95.34
5,2017,CT,93.75
6,2017,WA,90.54
7,2017,VA,89.52
8,2017,MA,89.4
9,2017,OH,88.53
10,2017,SC,86.5
11,2017,PA,86.35
12,2017,FL,86.22
13,2017,VT,84.65
14,2017,IL,84.51
15,2017,MN,82.92
16,2017,CO,82.71
17,2017,ME,82.6
18,2017,NC,81.97
19,2017,MD,80.77
20,2017,OR,80.6
21,2017,LA,80.13
22,2017,IA,79.4
23,2017,NJ,78.53
24,2017,MI,78.38
25,2017,AR,76.82
26,2017,TN,76.43
27,2017,WI,76.19
28,2017,IN,76.13
29,2017,GA,76.09
30,2017,TX,75.4
31,2017,MO,75.3
32,2017,AL,74.78
33,2017,KS,74.68
34,2017,KY,74.33
35,2017,NV,71.63
36,2017,OK,70.63
37,2017,AZ,69.08
38,2017,UT,68.46
39,2017,NM,66.86
40,2017,ID,65.24
