,Year,USstate,Cost of Living Index
0,2016,OH,83.02
1,2016,NY,90.13
2,2016,NM,63.81
3,2016,PA,92.69
4,2016,CA,83.81
5,2016,AK,93.85
6,2016,MI,70.37
7,2016,NC,80.59
8,2016,GA,75.7
9,2016,TX,70.23
10,2016,MD,80.39
11,2016,ID,66.21
12,2016,MA,84.7
13,2016,CO,78.78
14,2016,SC,78.54
15,2016,IL,85.14
16,2016,IA,79.53
17,2016,OR,65.76
18,2016,VA,83.09
19,2016,FL,80.35
20,2016,CT,75.77
21,2016,HI,99.72
22,2016,AL,70.79
23,2016,IN,73.55
24,2016,NJ,77.09
25,2016,MO,67.52
26,2016,TN,75.84
27,2016,NV,88.05
28,2016,KY,71.82
29,2016,WI,73.28
30,2016,MN,81.06
31,2016,LA,77.98
32,2016,OK,65.08
33,2016,NE,63.6
34,2016,AZ,70.84
35,2016,UT,67.4
36,2016,WA,83.22
37,2016,DC,96.18
38,2016,KS,78.01
