,Year,USstate,Cost of Living Index
0,2018,NY,100.0
1,2018,CA,97.84
2,2018,AK,94.99
3,2018,HI,94.15
4,2018,MD,92.66
5,2018,IN,92.14
6,2018,DC,91.94
7,2018,VA,89.2
8,2018,WA,88.85
9,2018,MA,87.05
10,2018,SC,86.19
11,2018,FL,86.01
12,2018,CT,84.13
13,2018,PA,83.46
14,2018,CO,82.19
15,2018,ME,81.6
16,2018,MN,81.46
17,2018,IL,80.16
18,2018,NJ,79.91
19,2018,OR,78.94
20,2018,VT,78.89
21,2018,NC,77.36
22,2018,LA,76.64
23,2018,TX,75.32
24,2018,GA,74.97
25,2018,AR,74.9
26,2018,AL,74.64
27,2018,OH,73.47
28,2018,WI,73.37
29,2018,TN,72.95
30,2018,NH,71.46
31,2018,NV,70.97
32,2018,MO,70.76
33,2018,MI,70.58
34,2018,IA,69.37
35,2018,NE,68.61
36,2018,KY,67.9
37,2018,KS,67.02
38,2018,AZ,66.87
39,2018,SD,66.85
40,2018,UT,66.76
41,2018,OK,66.71
42,2018,NM,65.73
43,2018,ID,62.65
