,Year,USstate,Cost of Living Index
0,2014,HI,106.27
1,2014,DC,100.38
2,2014,NY,100.0
3,2014,AK,98.99
4,2014,CA,93.66
5,2014,VA,93.16
6,2014,MA,92.94
7,2014,WA,91.63
8,2014,CT,90.72
9,2014,PA,90.09
10,2014,MN,89.18
11,2014,FL,88.71
12,2014,OH,87.06
13,2014,WI,86.72
14,2014,TX,86.52
15,2014,CO,82.1
16,2014,NV,81.2
17,2014,IL,81.01
18,2014,NC,80.56
19,2014,MI,80.33
20,2014,MO,79.92
21,2014,LA,79.43
22,2014,TN,78.17
23,2014,MD,78.03
24,2014,OR,73.53
25,2014,IN,73.21
26,2014,KS,73.07
27,2014,UT,72.01
28,2014,AZ,71.61
29,2014,OK,71.57
30,2014,AL,71.18
31,2014,IA,70.0
32,2014,NE,69.47
33,2014,ID,68.35
